	Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
0	2007.0	1.29986363636	1.30742	1.32418636364	1.35161578947	1.35113181818	1.34185714286	1.37155909091	1.36224782609	1.389645	1.42274782609	1.46836363636	1.45703684211
1	2008.0	1.47179090909	1.47483809524	1.55265263158	1.57505	1.5557	1.55527619048	1.57696956522	1.49753809524	1.43695	1.33220869565	1.273215	1.34494285714
2	2009.0	1.32386666667	1.27847	1.30498181818	1.31903	1.365045	1.40164545455	1.40876956522	1.4268	1.45616363636	1.48163636364	1.49144761905	1.46135909091
3	2010.0	1.42721	1.36857	1.35685217391	1.34057	1.257825	1.22085	1.276905	1.28941818182	1.30761904762	1.38959	1.37366842105	1.32191428571
4	2011.0	1.33621	1.36479473684	1.3999173913	1.44417894737	1.43522857143	1.43884090909	1.42525	1.43432173913	1.3753047619	1.3712	1.35812	1.3179047619
5	2012.0	1.291515	1.3222	1.3201	1.31617368421	1.27995238095	1.25262857143	1.22755238095	1.23999565217	1.28708421053	1.29749090909	1.28204	1.31091764706
6	2013.0	1.32863809524	1.33594210526	1.29636	1.3026	1.29840952381	1.318875	1.30940952381	1.33095	1.335495	1.36381818182	1.34814736842	1.3699
7	2014.0	1.36123333333	1.36563684211	1.38225238095	1.38125	1.3737	1.35923809524	1.35369545455	1.33160952381	1.28903333333	1.26724545455	1.24711666667	1.23313333333
8	2015.0	1.16	1.13465789474	1.08376818182	1.07793	1.11585789474	1.12132272727	1.09912272727	1.1139047619	1.12247619048	1.12285238095	1.07507368421	1.08771818182
9	2016.0	1.08579473684	1.10886	1.10996666667	1.13391904762	1.13192857143	1.12289090909	1.106505	1.12117391304	1.12147619048	1.101935	1.082185	1.05429047619
