	Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
0	2007.0	7.78958947368	7.75462666667	7.73898181818	7.72474761905	7.67342222222	7.63301904762	7.57955714286	7.57529130435	7.52429473684	7.50062941176	7.42331363636	7.37195555556
1	2008.0	7.24781363636	7.165035	7.07520952381	7.00068571429	6.97413157895	6.89836666667	6.83763478261	6.8515	6.83060555556	6.83155	6.828555	6.84268636364
2	2009.0	6.83815333333	6.83576315789	6.83410454545	6.83116666667	6.82455294118	6.83324545455	6.83202608696	6.83221428571	6.82890909091	6.82754666667	6.82739047619	6.82788095238
3	2010.0	6.82732631579	6.82704	6.82643913043	6.82615714286	6.82739473684	6.8165	6.777795	6.79012272727	6.74202352941	6.67317333333	6.65470526316	6.65360952381
4	2011.0	6.60338421053	6.58403571429	6.56624347826	6.52918333333	6.49951	6.47783809524	6.461215	6.40743181818	6.38281	6.35650666667	6.339205	6.32862857143
5	2012.0	6.3158	6.30036	6.30813636364	6.29658235294	6.30536666667	6.31779	6.32402380952	6.34036086957	6.33941052632	6.31435333333	6.29576	6.29005
6	2013.0	6.27872631579	6.28437142857	6.274295	6.24706666667	6.1978047619	6.17177058824	6.17208571429	6.17076363636	6.15816666667	6.140545	6.13762105263	6.1172
7	2014.0	6.10391578947	6.11326666667	6.13690526316	6.15511	6.16323157895	6.15636190476	6.1566	6.16061428571	6.152075	6.14404117647	6.14431666667	6.12421904762
8	2015.0	6.12738421053	6.13435	6.15054761905	6.12977894737	6.11415263158	6.11613809524	6.1167	6.30557619048	6.36970526316	6.34906875	6.36415263158	6.4527
9	2016.0	6.5731	6.54391333333	6.50709130435	6.478735	6.52882	6.595765	6.678905	6.64916086957	6.67263684211	6.74909333333	6.833605	6.92197142857
