	Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
0	2007.0	2.13828181818	2.09415882353	2.09104	2.03235384615	2.02955	1.9218125	1.88356666667	1.9557	1.89744666667	1.80522	1.77009411765	1.7871625
1	2008.0	1.77456315789	1.72644375	1.70155882353	1.69572777778	1.66283333333	1.61801666667	1.59171304348	1.60828571429	1.79864736842	2.14424	2.277275	2.38045
2	2009.0	2.306205	2.30838	2.32954375	2.19951333333	2.07264736842	1.95777619048	1.93615263158	1.84372380952	1.821375	1.73737647059	1.72417647059	1.7468
3	2010.0	1.77218	1.84656	1.78634782609	1.75831818182	1.80273888889	1.80776818182	1.770875	1.75914285714	1.72078571429	1.67707058824	1.71129375	1.69695
4	2011.0	1.67337894737	1.66784736842	1.65859130435	1.592325	1.61227619048	1.58712727273	1.56362	1.59566521739	1.7381952381	1.774785	1.77401764706	1.83111666667
5	2012.0	1.791665	1.71965	1.79017727273	1.85062380952	1.97499545455	2.04777142857	2.02927619048	2.02999565217	2.02847368421	2.030615	2.06046	2.08340555556
6	2013.0	2.032565	1.97361052632	1.983145	2.00296818182	2.02923181818	2.16877	2.24772857143	2.33845454545	2.272535	2.19426111111	2.28878947368	2.34591578947
7	2014.0	2.381565	2.38811052632	2.32819473684	2.23479047619	2.22156190476	2.237295	2.22154090909	2.26935238095	2.32724285714	2.45041904762	2.54636666667	2.6327
8	2015.0	2.63353684211	2.80445555556	3.12448636364	3.05796818182	3.05177894737	3.11550454545	3.2147	3.50227142857	3.89092380952	3.88556666667	3.78483888889	3.86867272727
9	2016.0	4.04572631579	3.96851	3.72143913043	3.56964761905	3.53008095238	3.44139090909	3.275795	3.209	3.25559047619	3.18851	3.32983157895	3.36215714286
